RUN_ID,OBJ_TYPE,FAIL_TYPE,TRANSPORT_FAIL,SEARCH_FAIL,FETCH_FAIL,DELIVER_FAIL,PERCEPT_FAIL,NAV_FAIL,MANIP_FAIL,TIME_SEC,
21,BOWL,SUM,1,0,0,1,8,25,47,0,
21,CUP,SUM,0,0,0,0,0,7,29,8.9539978504,
21,SPOON,SUM,0,0,0,0,32,7,0,23.5252997875,
21,,SUM,1,0,0,1,40,39,76,32.4792976379,
21,,,,,,,,,,,
22,,,,,,,,,,,
22,BOWL,SUM,1,0,1,0,32,9,44,0,
22,CUP,SUM,1,0,1,0,0,41,30,0,
22,SPOON,SUM,0,0,0,0,0,2,0,10.1448099613,
22,,SUM,2,0,2,0,32,52,74,10.1448099613,
22,,,,,,,,,,,
23,,,,,,,,,,,
23,BOWL,SUM,1,0,1,0,8,36,40,0,
23,CUP,SUM,0,0,0,0,0,0,6,5.0217819214,
23,SPOON,SUM,0,0,0,0,0,1,0,9.9011011124,
23,,SUM,1,0,1,0,8,37,46,14.9228830338,
23,,,,,,,,,,,
24,,,,,,,,,,,
24,BOWL,SUM,1,0,0,1,0,2,19,0,
24,CUP,SUM,1,0,1,0,0,36,11,0,
24,SPOON,SUM,0,0,0,0,0,0,4,10.447026968,
24,,SUM,2,0,1,1,0,38,34,10.447026968,
24,,,,,,,,,,,
25,,,,,,,,,,,
25,BOWL,SUM,0,0,0,0,0,5,37,13.2130250931,
25,CUP,SUM,1,0,1,0,0,20,33,0,
25,SPOON,SUM,0,0,0,0,0,6,28,15.6164619923,
25,,SUM,1,0,1,0,0,31,98,28.8294870853,
25,,,,,,,,,,,
26,,,,,,,,,,,
26,BOWL,SUM,1,0,1,0,0,23,44,0,
26,CUP,SUM,0,0,0,0,0,7,10,8.5528209209,
26,SPOON,SUM,0,0,0,0,0,0,6,12.0918300152,
26,,SUM,1,0,1,0,0,30,60,20.6446509361,
26,,,,,,,,,,,
27,,,,,,,,,,,
27,BOWL,SUM,1,0,1,0,0,14,44,0,
27,CUP,SUM,0,0,0,0,0,1,4,5.0635719299,
27,SPOON,SUM,1,0,1,0,0,10,44,0,
27,,SUM,2,0,2,0,0,25,92,5.0635719299,
27,,,,,,,,,,,
28,,,,,,,,,,,
28,BOWL,SUM,1,0,0,1,0,3,11,0,
28,CUP,SUM,1,0,1,0,0,20,11,0,
28,SPOON,SUM,0,0,0,0,8,1,0,14.4542222023,
28,,SUM,2,0,1,1,8,24,22,14.4542222023,
28,,,,,,,,,,,
29,,,,,,,,,,,
29,BOWL,SUM,1,0,1,0,0,10,44,0,
29,CUP,SUM,1,0,1,0,8,10,81,0,
29,SPOON,SUM,1,0,1,0,0,6,44,0,
29,,SUM,3,0,3,0,8,26,169,0,
29,,,,,,,,,,,
30,,,,,,,,,,,
30,BOWL,SUM,0,0,0,0,0,0,4,8.610599041,
30,CUP,SUM,0,0,0,0,0,10,6,5.627518177,
30,SPOON,SUM,0,0,0,0,0,3,11,12.5609481335,
30,,SUM,0,0,0,0,0,13,21,26.7990653515,
30,,,,,,,,,,,
31,,,,,,,,,,,
31,BOWL,SUM,0,0,0,0,8,5,40,21.3496539593,
31,CUP,SUM,1,0,1,0,0,72,45,0,
31,SPOON,SUM,0,0,0,0,0,2,24,16.9121580124,
31,,SUM,1,0,1,0,8,79,109,38.2618119717,
31,,,,,,,,,,,
32,,,,,,,,,,,
32,BOWL,SUM,0,0,0,0,0,17,26,13.7097661495,
32,CUP,SUM,0,0,0,0,16,7,7,15.8343069553,
32,SPOON,SUM,1,0,1,0,0,10,44,0,
32,,SUM,1,0,1,0,16,34,77,29.5440731049,
32,,,,,,,,,,,
33,,,,,,,,,,,
33,BOWL,SUM,0,0,0,0,0,3,9,11.7265059948,
33,CUP,SUM,0,0,0,0,0,5,4,6.0797560215,
33,SPOON,SUM,0,0,0,0,8,7,34,22.4832179546,
33,,SUM,0,0,0,0,8,15,47,40.2894799709,
33,,,,,,,,,,,
34,,,,,,,,,,,
34,BOWL,SUM,0,0,0,0,0,11,10,9.5825929642,
34,CUP,SUM,0,0,0,0,0,1,7,7.2674689293,
34,SPOON,SUM,0,0,0,0,16,6,4,22.1296849251,
34,,SUM,0,0,0,0,16,18,21,38.9797468185,
34,,,,,,,,,,,
35,,,,,,,,,,,
35,BOWL,SUM,1,0,0,1,8,2,13,0,
35,CUP,SUM,1,0,1,0,8,16,33,0,
35,SPOON,SUM,0,0,0,0,0,0,1,11.4906909466,
35,,SUM,2,0,1,1,16,18,47,11.4906909466,
35,,,,,,,,,,,
36,,,,,,,,,,,
36,BOWL,SUM,1,0,1,0,0,26,44,0,
36,CUP,SUM,0,0,0,0,0,0,3,6.8225240707,
